Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.17     34.51     0.07                             inner_loop (fill_triangle.c:153 @ b495)
  0.17     34.58     0.07                             inner_loop (fill_triangle.c:139 @ b4dc)
  0.17     34.65     0.07                             my_str_cpy (get_next_line_utils.c:71 @ 1037c)
  0.17     34.72     0.07                             paethPredictor (lodepng.c:4245 @ 1ba9c)
  0.17     34.79     0.07                             paethPredictor (lodepng.c:4249 @ 1bad6)
  0.17     34.86     0.07                             peekBits (lodepng.c:564 @ 1543f)
  0.17     34.93     0.07                             unfilterScanline (lodepng.c:4499 @ 1d347)
  0.16     34.99     0.07                             fill_triangle_color (fill_triangle2.c:204 @ ba7f)
  0.14     35.05     0.06 110521132     0.54     0.54  zero_f (utils1.c:63 @ 78f0)
  0.14     35.12     0.06                             _init
  0.14     35.17     0.06                             fill_triangle_color (fill_triangle2.c:141 @ b787)
  0.14     35.23     0.06                             fill_triangle_color (fill_triangle2.c:199 @ bb70)
  0.14     35.30     0.06                             huffmanDecodeSymbol (lodepng.c:1075 @ 16027)
  0.14     35.35     0.06                             reset_pixel_buffer_main (main.c:104 @ 3373)
  0.14     35.41     0.06                             update_adler32 (lodepng.c:2146 @ 17192)
  0.14     35.48     0.06                             v3_sub (vec3.c:146 @ 6160)
  0.13     35.53     0.06                             ensureBits32 (lodepng.c:543 @ 15222)
  0.13     35.59     0.06                             fill_triangle_color (fill_triangle2.c:205 @ ba75)
  0.13     35.64     0.06                             inner_loop (fill_triangle.c:139 @ b063)
  0.13     35.70     0.06                             inner_loop (fill_triangle.c:143 @ b44e)
  0.13     35.75     0.06                             inner_loop (fill_triangle.c:156 @ b4c6)
  0.13     35.80     0.06                             matrix_mult_vec3_4x4 (matrix_mult.c:66 @ a95f)
  0.13     35.86     0.06                             unfilterScanline (lodepng.c:4495 @ 1d277)
  0.12     35.91     0.05 35745659     1.40     1.40  rasterize (draw.c:251 @ 5280)
  0.12     35.96     0.05                             advanceBits (lodepng.c:570 @ 1547f)
  0.12     36.01     0.05                             cpy_triangle_data_rasterize (draw.c:244 @ 54b8)
  0.12     36.06     0.05                             fill_triangle_color (fill_triangle2.c:130 @ b7bf)
  0.12     36.11     0.05                             fill_triangle_color (fill_triangle2.c:136 @ b844)
  0.12     36.16     0.05                             fill_triangle_color (fill_triangle2.c:141 @ b860)
  0.12     36.21     0.05                             fill_triangle_color (fill_triangle2.c:143 @ b868)
  0.12     36.26     0.05                             fill_triangle_color (fill_triangle2.c:147 @ b887)
  0.12     36.31     0.05                             ft_memcpy (ft_memcpy.c:29 @ eb5d)
  0.12     36.36     0.05                             inner_loop (fill_triangle.c:154 @ b4b0)
  0.12     36.41     0.05                             inner_loop (fill_triangle.c:161 @ b4eb)
  0.11     36.45     0.04                             draw_mesh (draw.c:374 @ 59ca)
  0.11     36.50     0.04                             ensureBits32 (lodepng.c:547 @ 15283)
  0.11     36.55     0.04                             fill_triangle_color (fill_triangle2.c:139 @ b778)
  0.11     36.59     0.04                             fill_triangle_color (fill_triangle2.c:143 @ b78f)
  0.11     36.63     0.04                             fill_triangle_color (fill_triangle2.c:148 @ b7bb)
  0.11     36.68     0.04                             fill_triangle_texture (fill_triangle.c:265 @ b21c)
  0.11     36.73     0.04                             inner_loop (fill_triangle.c:144 @ b437)
  0.11     36.77     0.04                             inner_loop (fill_triangle.c:143 @ b447)
  0.11     36.81     0.04                             reset_pixel_buffer_main (main.c:104 @ 3367)
  0.10     36.85     0.04                             clipping_z_near (clipping_z.c:126 @ c3e9)
  0.10     36.90     0.04                             clipping_z_near (clipping_z.c:193 @ c46e)
  0.10     36.94     0.04                             dot_prod_unit (vec3.c:111 @ 601e)
  0.10     36.98     0.04                             draw_mesh (draw.c:373 @ 59b3)
  0.10     37.02     0.04                             draw_mesh (draw.c:416 @ 5bea)
  0.10     37.05     0.04                             fill_triangle_color (fill_triangle2.c:140 @ b77f)
  0.10     37.09     0.04                             fill_triangle_color (fill_triangle2.c:143 @ b7a5)
  0.10     37.13     0.04                             fill_triangle_color (fill_triangle2.c:135 @ b84b)
  0.10     37.17     0.04                             fill_triangle_color (fill_triangle2.c:139 @ b854)
  0.10     37.22     0.04                             fill_triangle_color (fill_triangle2.c:142 @ b87a)
  0.10     37.26     0.04                             fill_triangle_color (fill_triangle2.c:130 @ b891)
  0.10     37.30     0.04                             fill_triangle_color (fill_triangle2.c:199 @ ba50)
  0.10     37.34     0.04                             fill_triangle_color (fill_triangle2.c:205 @ bba6)
  0.10     37.38     0.04                             fill_triangle_texture (fill_triangle.c:285 @ b2bd)
  0.10     37.41     0.04                             fill_triangle_texture (fill_triangle.c:286 @ b2bf)
  0.10     37.45     0.04                             fill_triangle_texture (fill_triangle.c:281 @ b2c5)
  0.10     37.49     0.04                             inflateHuffmanBlock (lodepng.c:1295 @ 16a3b)
  0.10     37.53     0.04                             inner_loop (fill_triangle.c:139 @ ae66)
  0.10     37.58     0.04                             unfilterScanline (lodepng.c:4498 @ 1d312)
  0.08     37.61     0.04                             draw_mesh (draw.c:378 @ 5ad2)
  0.08     37.65     0.04                             fill_triangle_color (fill_triangle2.c:134 @ b765)
  0.08     37.68     0.04                             fill_triangle_texture (fill_triangle.c:209 @ ade3)
  0.08     37.72     0.04                             inflateHuffmanBlock (lodepng.c:1318 @ 16bae)
  0.08     37.75     0.04                             inner_loop (fill_triangle.c:161 @ b066)
  0.07     37.78     0.03 177119714     0.17     0.17  v3_sub (vec3.c:138 @ 6110)
  0.07     37.81     0.03 37558027     0.80     0.80  clipping_z_near (clipping_z.c:126 @ c3a0)
  0.07     37.84     0.03                             append_buffer (get_next_line_utils.c:126 @ 103bc)
  0.07     37.87     0.03                             clipping_xy (clipping_xy.c:176 @ cbac)
  0.07     37.90     0.03                             fill_triangle_color (fill_triangle2.c:143 @ b87c)
  0.07     37.93     0.03                             fill_triangle_color (fill_triangle2.c:148 @ b88d)
  0.07     37.96     0.03                             fill_triangle_color (fill_triangle2.c:197 @ ba9e)
  0.07     37.99     0.03                             fill_triangle_color (fill_triangle2.c:203 @ bb86)
  0.07     38.02     0.03                             fill_triangle_color (fill_triangle2.c:207 @ bbab)
  0.07     38.05     0.03                             fill_triangle_texture (fill_triangle.c:271 @ b290)
  0.07     38.08     0.03                             fill_triangle_texture (fill_triangle.c:259 @ b3c8)
  0.07     38.11     0.03                             ft_memcpy (ft_memcpy.c:31 @ ea78)
  0.07     38.14     0.03                             ft_memcpy (ft_memcpy.c:28 @ eafa)
  0.07     38.17     0.03                             ft_memcpy (ft_memcpy.c:29 @ eb03)
  0.07     38.20     0.03                             ft_memcpy (ft_memcpy.c:28 @ ec0a)
  0.07     38.23     0.03                             huffmanDecodeSymbol (lodepng.c:1073 @ 15ffe)
  0.07     38.26     0.03                             huffmanDecodeSymbol (lodepng.c:1076 @ 16040)
  0.07     38.29     0.03                             inflateHuffmanBlock (lodepng.c:1261 @ 16883)
  0.07     38.32     0.03                             inflateHuffmanBlock (lodepng.c:1275 @ 16956)
  0.07     38.35     0.03                             inflateHuffmanBlock (lodepng.c:1298 @ 16a59)
  0.07     38.38     0.03                             inflateHuffmanBlock (lodepng.c:1314 @ 16b9d)
  0.07     38.41     0.03                             inflateHuffmanBlock (lodepng.c:1325 @ 16c0d)
  0.07     38.44     0.03                             inner_loop (fill_triangle.c:154 @ b02d)
  0.07     38.47     0.03                             inner_loop (fill_triangle.c:156 @ b050)
  0.07     38.50     0.03                             inner_loop (fill_triangle.c:154 @ b423)
  0.07     38.53     0.03                             my_str_cpy (get_next_line_utils.c:74 @ 10386)
  0.07     38.56     0.03                             rasterize (draw.c:251 @ 52e9)
