Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.12     71.48     0.10                             paethPredictor (lodepng.c:4249 @ 1bbc6)
  0.12     71.58     0.10                             v3_add_incl_uv (fill_triangle.c:76 @ af82)
  0.11     71.67     0.10                             ensureBits32 (lodepng.c:549 @ 153d3)
  0.11     71.77     0.10                             fill_triangle_color (fill_triangle2.c:197 @ bcae)
  0.11     71.86     0.10                             update_adler32 (lodepng.c:2147 @ 17267)
  0.11     71.95     0.09                             fill_triangle_color (fill_triangle2.c:148 @ b97d)
  0.11     72.05     0.09                             fill_triangle_color (fill_triangle2.c:205 @ bb75)
  0.11     72.14     0.09                             ft_memcpy (ft_memcpy.c:31 @ eb68)
  0.11     72.22     0.09                             paethPredictor (lodepng.c:4250 @ 1bbdf)
  0.10     72.31     0.09                             draw_mesh (draw.c:378 @ 5c32)
  0.10     72.39     0.09                             fill_triangle_color (fill_triangle2.c:203 @ bb56)
  0.10     72.48     0.09                             get_unset_last_used_index (clipping_xy.c:54 @ d108)
  0.10     72.56     0.08 243787962     0.33     0.33  zero_f (utils1.c:63 @ 7a50)
  0.10     72.64     0.08                             cpy_triangle_data_rasterize (draw.c:244 @ 5618)
  0.10     72.72     0.08                             ensureBits32 (lodepng.c:542 @ 15306)
  0.10     72.80     0.08                             ensureBits32 (lodepng.c:546 @ 15340)
  0.10     72.88     0.08                             fill_triangle_color (fill_triangle2.c:145 @ b971)
  0.10     72.96     0.08                             fill_triangle_color (fill_triangle2.c:207 @ bb81)
  0.10     73.04     0.08                             fill_triangle_color (fill_triangle2.c:208 @ bca5)
  0.10     73.12     0.08                             peekBits (lodepng.c:564 @ 1552f)
  0.10     73.20     0.08                             unfilterScanline (lodepng.c:4498 @ 1d402)
  0.09     73.28     0.07                             fill_triangle_color (fill_triangle2.c:134 @ b855)
  0.09     73.35     0.07                             fill_triangle_color (fill_triangle2.c:139 @ b868)
  0.09     73.42     0.07                             fill_triangle_color (fill_triangle2.c:142 @ b96a)
  0.09     73.50     0.07                             fill_triangle_color (fill_triangle2.c:204 @ bb6f)
  0.09     73.58     0.07                             fill_triangle_color (fill_triangle2.c:208 @ bb84)
  0.09     73.65     0.07                             v3_sub (vec3.c:145 @ 6297)
  0.08     73.72     0.07 116339554     0.60     0.60  unit_vec3 (vec3.c:18 @ 5ed0)
  0.08     73.79     0.07                             clipping_z_near (clipping_z.c:193 @ c55e)
  0.08     73.86     0.07                             draw_mesh (draw.c:370 @ 5ae1)
  0.08     73.93     0.07                             draw_mesh (draw.c:417 @ 5de8)
  0.08     74.00     0.07                             fill_triangle_color (fill_triangle2.c:205 @ bc85)
  0.08     74.07     0.07                             fill_triangle_texture (fill_triangle.c:263 @ b2f5)
  0.08     74.14     0.07                             inner_loop (fill_triangle.c:144 @ aff0)
  0.08     74.21     0.07                             unfilterScanline (lodepng.c:4497 @ 1d3cd)
  0.08     74.28     0.07                             advanceBits (lodepng.c:569 @ 15557)
  0.08     74.34     0.07                             draw_mesh (draw.c:379 @ 5c42)
  0.08     74.41     0.07                             fill_triangle_color (fill_triangle2.c:135 @ b93b)
  0.08     74.47     0.07                             fill_triangle_color (fill_triangle2.c:205 @ bb65)
  0.08     74.53     0.07                             fill_triangle_color (fill_triangle2.c:204 @ bc67)
  0.08     74.60     0.07                             fill_triangle_color (fill_triangle2.c:209 @ bcaa)
  0.08     74.67     0.07                             fill_triangle_texture (fill_triangle.c:302 @ b498)
  0.07     74.72     0.06 348413193     0.17     0.17  v3_sub (vec3.c:138 @ 6270)
  0.07     74.78     0.06                             fill_triangle_color (fill_triangle2.c:140 @ b948)
  0.07     74.84     0.06                             fill_triangle_color (fill_triangle2.c:147 @ b977)
  0.07     74.91     0.06                             fill_triangle_color (fill_triangle2.c:205 @ bc96)
  0.07     74.97     0.06                             ft_memcpy (ft_memcpy.c:29 @ ec05)
  0.07     75.03     0.06                             huffmanDecodeSymbol (lodepng.c:1075 @ 16117)
  0.07     75.08     0.06                             unfilterScanline (lodepng.c:4493 @ 1d2d7)
  0.07     75.14     0.06                             v3_add_incl_uv (fill_triangle.c:77 @ af2c)
  0.07     75.20     0.06                             v3_add_incl_uv (fill_triangle.c:77 @ b33b)
  0.07     75.27     0.06                             v3_sub (vec3.c:141 @ 628a)
  0.07     75.33     0.06                             v3_sub (vec3.c:145 @ 62ae)
  0.07     75.38     0.06                             dot_prod_unit (vec3.c:111 @ 617e)
  0.07     75.44     0.06                             ft_memcpy (ft_memcpy.c:29 @ ec17)
  0.07     75.49     0.06                             ft_memcpy (ft_memcpy.c:28 @ ec1f)
  0.07     75.55     0.06                             inner_loop (fill_triangle.c:136 @ b4c0)
  0.07     75.60     0.06                             rasterize (draw.c:293 @ 5652)
  0.07     75.66     0.06                             rasterize (draw.c:291 @ 5657)
  0.06     75.70     0.05 115998686     0.43     0.43  cross_product (vec3.c:99 @ 60f0)
  0.06     75.75     0.05 75190823     0.66     0.66  clipping_z_near (clipping_z.c:126 @ c490)
  0.06     75.81     0.05                             call_clipping_xy (clipping_xy.c:268 @ d1b8)
  0.06     75.86     0.05                             cross_product (vec3.c:102 @ 6131)
  0.06     75.91     0.05                             draw_mesh (draw.c:372 @ 5afe)
  0.06     75.95     0.05                             draw_mesh (draw.c:389 @ 5cff)
  0.06     76.00     0.05                             ensureBits32 (lodepng.c:543 @ 15312)
  0.06     76.06     0.05                             fill_triangle_color (fill_triangle2.c:145 @ b8a1)
  0.06     76.11     0.05                             fill_triangle_color (fill_triangle2.c:143 @ b958)
  0.06     76.16     0.05                             fill_triangle_color (fill_triangle2.c:199 @ bb40)
  0.06     76.20     0.05                             fill_triangle_color (fill_triangle2.c:207 @ bb7a)
  0.06     76.25     0.05                             fill_triangle_color (fill_triangle2.c:209 @ bb8a)
  0.06     76.31     0.05                             ft_memcpy (ft_memcpy.c:29 @ ec4d)
  0.06     76.36     0.05                             ft_memcpy (ft_memcpy.c:29 @ ec5f)
  0.06     76.41     0.05                             ft_memcpy (ft_memcpy.c:28 @ ec67)
  0.06     76.45     0.05                             inflateHuffmanBlock (lodepng.c:1295 @ 16b2b)
  0.06     76.50     0.05                             inflateHuffmanBlock (lodepng.c:1315 @ 16c4f)
  0.06     76.56     0.05                             unit_vec3 (vec3.c:22 @ 5ede)
  0.06     76.61     0.05                             update_adler32 (lodepng.c:2146 @ 17282)
  0.06     76.66     0.05                             v3_add_incl_uv (fill_triangle.c:77 @ b31c)
  0.06     76.70     0.05                             v3_add_incl_uv (fill_triangle.c:75 @ b37d)
  0.06     76.75     0.05                             v3_sub (vec3.c:146 @ 62c0)
