Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.10     31.81     0.04                             fill_triangle_color (fill_triangle2.c:142 @ b7a3)
  0.10     31.84     0.04                             fill_triangle_color (fill_triangle2.c:147 @ b887)
  0.10     31.88     0.04                             my_str_cpy (get_next_line_utils.c:71 @ 10383)
  0.10     31.91     0.04                             unfilterScanline (lodepng.c:4499 @ 1d347)
  0.08     31.95     0.03 144349479     0.00     0.00  v3_sub (vec3.c:138 @ 6110)
  0.08     31.98     0.03                             clipping_z_near (clipping_z.c:126 @ c3e9)
  0.08     32.01     0.03                             count_inside_points (clipping_xy.c:162 @ cb84)
  0.08     32.03     0.03                             ensureBits32 (lodepng.c:542 @ 15216)
  0.08     32.06     0.03                             ensureBits32 (lodepng.c:546 @ 152bf)
  0.08     32.09     0.03                             fill_triangle_color (fill_triangle2.c:135 @ b76b)
  0.08     32.12     0.03                             fill_triangle_color (fill_triangle2.c:139 @ b778)
  0.08     32.16     0.03                             fill_triangle_color (fill_triangle2.c:135 @ b84b)
  0.08     32.19     0.03                             fill_triangle_color (fill_triangle2.c:141 @ b860)
  0.08     32.22     0.03                             fill_triangle_texture (fill_triangle.c:270 @ b29e)
  0.08     32.24     0.03                             ft_memcpy (ft_memcpy.c:29 @ ea98)
  0.08     32.27     0.03                             huffmanDecodeSymbol (lodepng.c:1073 @ 15ffe)
  0.08     32.30     0.03                             huffmanDecodeSymbol (lodepng.c:1074 @ 16012)
  0.08     32.34     0.03                             inflateHuffmanBlock (lodepng.c:1299 @ 16a77)
  0.08     32.37     0.03                             inflateHuffmanBlock (lodepng.c:1314 @ 16b9d)
  0.08     32.40     0.03                             inner_loop (fill_triangle.c:144 @ b437)
  0.08     32.42     0.03                             inner_loop (fill_triangle.c:157 @ b492)
  0.08     32.45     0.03                             sort_vertexes_for_y (fill_triangle.c:36 @ aac2)
  0.08     32.48     0.03                             v3_sub (vec3.c:146 @ 614d)
  0.08     32.52     0.03                             v3_sub (vec3.c:145 @ 614e)
  0.07     32.54     0.03                             fill_triangle_color (fill_triangle2.c:140 @ b77f)
  0.07     32.56     0.03                             fill_triangle_color (fill_triangle2.c:203 @ bb86)
  0.07     32.59     0.03                             fill_triangle_color (fill_triangle2.c:209 @ bbba)
  0.07     32.62     0.03                             fill_triangle_texture (fill_triangle.c:290 @ b3b6)
  0.07     32.64     0.03                             inflateHuffmanBlock (lodepng.c:1275 @ 16956)
  0.07     32.66     0.03                             inner_loop (fill_triangle.c:139 @ ae66)
  0.07     32.69     0.03                             inner_loop (fill_triangle.c:148 @ afda)
  0.07     32.72     0.03                             inner_loop (fill_triangle.c:161 @ b066)
  0.07     32.74     0.03                             my_str_cpy (get_next_line_utils.c:74 @ 103a4)
  0.07     32.77     0.03                             unfilterScanline (lodepng.c:4492 @ 1d1bf)
  0.06     32.78     0.02 76658318     0.00     0.00  dot_prod_unit (vec3.c:110 @ 6010)
  0.06     32.80     0.02                             call_clipping_xy (clipping_xy.c:257 @ ca69)
  0.06     32.83     0.02                             count_inside_points (clipping_xy.c:156 @ cad6)
  0.06     32.84     0.02                             cpy_triangle_data_rasterize (draw.c:244 @ 54b8)
  0.06     32.87     0.02                             draw_mesh (draw.c:389 @ 5b9f)
  0.06     32.88     0.02                             draw_mesh (draw.c:416 @ 5c4b)
  0.06     32.91     0.02                             draw_mesh (draw.c:417 @ 5c88)
  0.06     32.92     0.02                             ensureBits25 (lodepng.c:525 @ 15085)
  0.06     32.95     0.02                             ensureBits25 (lodepng.c:528 @ 150b3)
  0.06     32.97     0.02                             ensureBits32 (lodepng.c:543 @ 15222)
  0.06     32.98     0.02                             ensureBits32 (lodepng.c:547 @ 152a0)
  0.06     33.01     0.02                             fill_triangle_color (fill_triangle2.c:134 @ b765)
  0.06     33.02     0.02                             fill_triangle_color (fill_triangle2.c:142 @ b795)
  0.06     33.05     0.02                             fill_triangle_color (fill_triangle2.c:130 @ b848)
  0.06     33.06     0.02                             fill_triangle_color (fill_triangle2.c:140 @ b858)
  0.06     33.09     0.02                             fill_triangle_color (fill_triangle2.c:143 @ b868)
  0.06     33.10     0.02                             fill_triangle_color (fill_triangle2.c:130 @ b891)
  0.06     33.12     0.02                             fill_triangle_color (fill_triangle2.c:203 @ ba66)
  0.06     33.15     0.02                             fill_triangle_color (fill_triangle2.c:207 @ ba91)
  0.06     33.16     0.02                             fill_triangle_color (fill_triangle2.c:209 @ ba9a)
  0.06     33.19     0.02                             fill_triangle_color (fill_triangle2.c:204 @ bb77)
  0.06     33.20     0.02                             fill_triangle_color (fill_triangle2.c:207 @ bbab)
  0.06     33.23     0.02                             fill_triangle_color (fill_triangle2.c:208 @ bbae)
  0.06     33.24     0.02                             fill_triangle_color (fill_triangle2.c:207 @ bbb2)
  0.06     33.27     0.02                             fill_triangle_texture (fill_triangle.c:240 @ ae51)
  0.06     33.28     0.02                             fill_triangle_texture (fill_triangle.c:202 @ af55)
  0.06     33.30     0.02                             fill_triangle_texture (fill_triangle.c:265 @ b21c)
  0.06     33.33     0.02                             fill_triangle_texture (fill_triangle.c:270 @ b27c)
  0.06     33.34     0.02                             fill_triangle_texture (fill_triangle.c:281 @ b2c5)
  0.06     33.37     0.02                             ft_memcpy (ft_memcpy.c:28 @ ea3f)
  0.06     33.38     0.02                             ft_memcpy (ft_memcpy.c:28 @ ec0a)
  0.06     33.41     0.02                             get_unset_last_used_index (clipping_xy.c:56 @ d022)
  0.06     33.42     0.02                             get_unset_used_index (clipping_xy.c:68 @ d287)
  0.06     33.45     0.02                             huffmanDecodeSymbol (lodepng.c:1076 @ 16040)
  0.06     33.47     0.02                             inflateHuffmanBlock (lodepng.c:1261 @ 16883)
  0.06     33.48     0.02                             inflateHuffmanBlock (lodepng.c:1281 @ 169a9)
  0.06     33.51     0.02                             inflateHuffmanBlock (lodepng.c:1295 @ 16a3b)
  0.06     33.52     0.02                             inflateHuffmanBlock (lodepng.c:1298 @ 16a59)
  0.06     33.55     0.02                             inflateHuffmanBlock (lodepng.c:1306 @ 16ab0)
  0.06     33.56     0.02                             inflateHuffmanBlock (lodepng.c:1309 @ 16ae2)
  0.06     33.59     0.02                             inflateHuffmanBlock (lodepng.c:1318 @ 16bae)
  0.06     33.60     0.02                             inflateHuffmanBlock (lodepng.c:1325 @ 16c0d)
  0.06     33.62     0.02                             inner_loop (fill_triangle.c:161 @ b070)
  0.06     33.65     0.02                             inner_loop (fill_triangle.c:155 @ b3f2)
  0.06     33.66     0.02                             inner_loop (fill_triangle.c:154 @ b4a3)
  0.06     33.69     0.02                             my_str_cpy (get_next_line_utils.c:70 @ 10380)
  0.06     33.70     0.02                             my_str_cpy (get_next_line_utils.c:74 @ 10415)
  0.06     33.73     0.02                             rasterize (draw.c:265 @ 5349)
  0.06     33.74     0.02                             rasterize (draw.c:293 @ 54e8)
  0.06     33.77     0.02                             reset_pixel_buffer_main (main.c:108 @ 3350)
  0.06     33.78     0.02                             scale_to_screen (draw.c:162 @ 5545)
  0.06     33.80     0.02                             sort_buffer (get_next_line_utils.c:92 @ 101b3)
  0.06     33.83     0.02                             v3_add_incl_uv (fill_triangle.c:77 @ b3e0)
  0.04     33.84     0.01                             advanceBits (lodepng.c:571 @ 15496)
  0.04     33.85     0.01                             cpy_triangle_data_rasterize (draw.c:240 @ 5448)
  0.04     33.87     0.01                             draw_mesh (draw.c:372 @ 599e)
  0.04     33.88     0.01                             draw_mesh (draw.c:419 @ 5c6e)
  0.04     33.90     0.01                             ensureBits32 (lodepng.c:544 @ 15232)
  0.04     33.91     0.01                             fill_triangle_color (fill_triangle2.c:143 @ b78f)
  0.04     33.93     0.01                             fill_triangle_color (fill_triangle2.c:143 @ b7a5)
  0.04     33.95     0.01                             fill_triangle_color (fill_triangle2.c:147 @ b7b4)
  0.04     33.96     0.01                             fill_triangle_color (fill_triangle2.c:148 @ b7bb)
  0.04     33.98     0.01                             fill_triangle_color (fill_triangle2.c:208 @ ba94)
  0.04     33.99     0.01                             fill_triangle_color (fill_triangle2.c:205 @ bb8e)
  0.04     34.01     0.01                             fill_triangle_texture (fill_triangle.c:204 @ ada8)
  0.04     34.02     0.01                             fill_triangle_texture (fill_triangle.c:246 @ af3f)
  0.04     34.03     0.01                             ft_memcpy (ft_memcpy.c:29 @ eb6f)
  0.04     34.05     0.01                             ft_memcpy (ft_memcpy.c:28 @ eb77)
  0.04     34.06     0.01                             lodepng_memcpy (lodepng.c:124 @ 14872)
  0.04     34.08     0.01                             obj_parser_handle_faces (obj_parser.c:334 @ 8efc)
  0.04     34.09     0.01                             rasterize (draw.c:261 @ 533b)
  0.04     34.11     0.01                             rasterize (draw.c:286 @ 5456)
  0.04     34.12     0.01                             unfilterScanline (lodepng.c:4491 @ 1d3af)
  0.04     34.14     0.01                             v3_add_incl_uv (fill_triangle.c:76 @ b257)
  0.04     34.16     0.01                             v3_sub (vec3.c:143 @ 6125)
  0.04     34.17     0.01                             v3_sub (vec3.c:141 @ 612a)
  0.03     34.18     0.01 29310722     0.00     0.00  clipping_z_near (clipping_z.c:126 @ c3a0)
  0.03     34.19     0.01 25515154     0.00     0.00  call_clipping_xy (clipping_xy.c:250 @ ca40)
  0.03     34.20     0.01  1569210     0.01     0.01  ft_strlen (ft_strlen.c:16 @ e930)
  0.03     34.21     0.01      403    24.81    24.81  display_fps_hook (fps.c:170 @ 42b0)
  0.03     34.22     0.01                             HuffmanTree_makeTable (lodepng.c:696 @ 15792)
  0.03     34.23     0.01                             HuffmanTree_makeTable (lodepng.c:703 @ 157f4)
  0.03     34.24     0.01                             append_buffer (get_next_line_utils.c:126 @ 103bc)
  0.03     34.25     0.01                             call_clipping_xy (clipping_xy.c:261 @ ca8a)
  0.03     34.26     0.01                             clipping_xy (clipping_xy.c:198 @ cd21)
  0.03     34.27     0.01                             clipping_z_near (clipping_z.c:126 @ c3d5)
  0.03     34.28     0.01                             count_inside_points (clipping_xy.c:158 @ cacd)
  0.03     34.29     0.01                             count_inside_points (clipping_xy.c:158 @ cae3)
  0.03     34.30     0.01                             count_inside_points (clipping_xy.c:156 @ caf3)
  0.03     34.31     0.01                             count_inside_points (clipping_xy.c:156 @ cb69)
  0.03     34.32     0.01                             count_inside_points (clipping_xy.c:157 @ cc47)
  0.03     34.33     0.01                             count_inside_points (clipping_xy.c:156 @ cc52)
  0.03     34.34     0.01                             count_inside_points (clipping_xy.c:160 @ cdd0)
  0.03     34.35     0.01                             count_inside_points (clipping_xy.c:162 @ cdf1)
  0.03     34.36     0.01                             count_inside_points (clipping_xy.c:160 @ ce27)
  0.03     34.37     0.01                             count_inside_points (clipping_xy.c:160 @ ce68)
  0.03     34.38     0.01                             count_inside_points (clipping_xy.c:158 @ ce88)
  0.03     34.39     0.01                             count_inside_points (clipping_xy.c:160 @ cecf)
  0.03     34.40     0.01                             count_inside_points (clipping_xy.c:156 @ d101)
  0.03     34.41     0.01                             count_inside_points (clipping_xy.c:163 @ d12b)
  0.03     34.42     0.01                             cpy_triangle_data_rasterize (draw.c:242 @ 54cf)
  0.03     34.43     0.01                             cpy_triangle_data_rasterize (draw.c:244 @ 54d3)
  0.03     34.44     0.01                             cross_product (vec3.c:107 @ 5fe5)
  0.03     34.45     0.01                             cross_product (vec3.c:104 @ 5fe6)
  0.03     34.46     0.01                             dot_prod_unit (vec3.c:112 @ 603e)
  0.03     34.47     0.01                             draw_mesh (draw.c:367 @ 5970)
  0.03     34.48     0.01                             draw_mesh (draw.c:373 @ 59b3)
  0.03     34.49     0.01                             draw_mesh (draw.c:389 @ 5b88)
  0.03     34.50     0.01                             draw_mesh (draw.c:391 @ 5c0b)
  0.03     34.51     0.01                             draw_mesh (draw.c:367 @ 5cf7)
  0.03     34.52     0.01                             fill_slider (menu.c:88 @ dcac)
  0.03     34.53     0.01                             fill_triangle_color (fill_triangle2.c:110 @ b6c3)
  0.03     34.54     0.01                             fill_triangle_color (fill_triangle2.c:130 @ b741)
  0.03     34.55     0.01                             fill_triangle_color (fill_triangle2.c:141 @ b787)
  0.03     34.56     0.01                             fill_triangle_color (fill_triangle2.c:130 @ b7bf)
  0.03     34.57     0.01                             fill_triangle_color (fill_triangle2.c:135 @ b81b)
  0.03     34.58     0.01                             fill_triangle_color (fill_triangle2.c:134 @ b840)
  0.03     34.59     0.01                             fill_triangle_color (fill_triangle2.c:148 @ b88d)
  0.03     34.60     0.01                             fill_triangle_color (fill_triangle2.c:173 @ b970)
  0.03     34.61     0.01                             fill_triangle_color (fill_triangle2.c:174 @ b97b)
  0.03     34.62     0.01                             fill_triangle_color (fill_triangle2.c:183 @ b9ce)
  0.03     34.63     0.01                             fill_triangle_color (fill_triangle2.c:200 @ ba02)
  0.03     34.64     0.01                             fill_triangle_color (fill_triangle2.c:199 @ ba50)
  0.03     34.65     0.01                             fill_triangle_color (fill_triangle2.c:200 @ ba70)
  0.03     34.66     0.01                             fill_triangle_color (fill_triangle2.c:208 @ ba8d)
  0.03     34.67     0.01                             fill_triangle_color (fill_triangle2.c:197 @ ba9e)
  0.03     34.68     0.01                             fill_triangle_color (fill_triangle2.c:216 @ baaa)
  0.03     34.69     0.01                             fill_triangle_color (fill_triangle2.c:203 @ bb4d)
  0.03     34.70     0.01                             fill_triangle_texture (fill_triangle.c:207 @ adbc)
  0.03     34.71     0.01                             fill_triangle_texture (fill_triangle.c:208 @ adc5)
  0.03     34.72     0.01                             fill_triangle_texture (fill_triangle.c:209 @ ade3)
  0.03     34.73     0.01                             fill_triangle_texture (fill_triangle.c:216 @ adf7)
  0.03     34.74     0.01                             fill_triangle_texture (fill_triangle.c:252 @ b0e8)
  0.03     34.75     0.01                             fill_triangle_texture (fill_triangle.c:266 @ b226)
  0.03     34.76     0.01                             fill_triangle_texture (fill_triangle.c:270 @ b252)
  0.03     34.77     0.01                             fill_triangle_texture (fill_triangle.c:276 @ b2b2)
  0.03     34.78     0.01                             fill_triangle_texture (fill_triangle.c:285 @ b2bd)
  0.03     34.79     0.01                             fill_triangle_texture (fill_triangle.c:286 @ b2bf)
  0.03     34.80     0.01                             fill_triangle_texture (fill_triangle.c:259 @ b3c8)
  0.03     34.81     0.01                             ft_memcpy (ft_memcpy.c:28 @ eb41)
  0.03     34.82     0.01                             ft_memcpy (ft_memcpy.c:29 @ eb4b)
  0.03     34.83     0.01                             ft_split (ft_split.c:79 @ f490)
