Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.14     42.95     0.07                             fill_triangle_color (fill_triangle2.c:197 @ bcae)
  0.14     43.02     0.07                             inner_loop (fill_triangle.c:151 @ aff6)
  0.14     43.09     0.07                             paethPredictor (lodepng.c:4249 @ 1bbc6)
  0.14     43.16     0.07                             v3_sub (vec3.c:145 @ 62ae)
  0.13     43.22     0.07                             ensureBits32 (lodepng.c:546 @ 15340)
  0.13     43.28     0.07                             fill_triangle_texture (fill_triangle.c:259 @ af7e)
  0.13     43.35     0.07                             get_unset_last_used_index (clipping_xy.c:54 @ d108)
  0.13     43.41     0.07                             update_adler32 (lodepng.c:2147 @ 17267)
  0.12     43.48     0.06 136017954     0.44     0.44  dot_prod_unit (vec3.c:110 @ 6170)
  0.12     43.53     0.06                             _init
  0.12     43.59     0.06                             draw_mesh (draw.c:389 @ 5cff)
  0.12     43.66     0.06                             fill_triangle_color (fill_triangle2.c:139 @ b868)
  0.12     43.72     0.06                             fill_triangle_color (fill_triangle2.c:141 @ b950)
  0.12     43.77     0.06                             fill_triangle_color (fill_triangle2.c:205 @ bc96)
  0.12     43.84     0.06                             ft_memcpy (ft_memcpy.c:29 @ ec05)
  0.12     43.90     0.06                             v3_sub_incl_uv (fill_triangle.c:86 @ b177)
  0.11     43.95     0.06                             fill_triangle_color (fill_triangle2.c:142 @ b893)
  0.11     44.01     0.06                             fill_triangle_color (fill_triangle2.c:205 @ bb65)
  0.11     44.06     0.06                             fill_triangle_color (fill_triangle2.c:205 @ bb75)
  0.11     44.12     0.06                             fill_triangle_color (fill_triangle2.c:199 @ bc60)
  0.11     44.17     0.06                             fill_triangle_color (fill_triangle2.c:207 @ bc9b)
  0.11     44.23     0.06                             fill_triangle_color (fill_triangle2.c:208 @ bca5)
  0.11     44.28     0.06                             fill_triangle_texture (fill_triangle.c:241 @ af42)
  0.11     44.34     0.06                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b57e)
  0.11     44.39     0.06                             paethPredictor (lodepng.c:4244 @ 1bb77)
  0.11     44.45     0.06                             update_adler32 (lodepng.c:2146 @ 17282)
  0.10     44.49     0.05                             advanceBits (lodepng.c:568 @ 1554b)
  0.10     44.55     0.05                             draw_mesh (draw.c:416 @ 5dab)
  0.10     44.59     0.05                             ensureBits32 (lodepng.c:547 @ 15390)
  0.10     44.65     0.05                             fill_triangle_color (fill_triangle2.c:136 @ b934)
  0.10     44.70     0.05                             fill_triangle_color (fill_triangle2.c:135 @ b93b)
  0.10     44.74     0.05                             fill_triangle_color (fill_triangle2.c:142 @ b96a)
  0.10     44.80     0.05                             fill_triangle_texture (fill_triangle.c:239 @ af0d)
  0.10     44.84     0.05                             fill_triangle_texture (fill_triangle.c:325 @ b490)
  0.10     44.90     0.05                             huffmanDecodeSymbol (lodepng.c:1076 @ 16130)
  0.10     44.95     0.05                             inner_loop (fill_triangle.c:154 @ b009)
  0.10     44.99     0.05                             unfilterScanline (lodepng.c:4495 @ 1d367)
  0.10     45.05     0.05                             unfilterScanline (lodepng.c:4498 @ 1d402)
  0.10     45.09     0.05                             v3_sub (vec3.c:145 @ 6297)
  0.10     45.15     0.05                             v3_sub (vec3.c:146 @ 62ad)
  0.09     45.19     0.04                             rasterize (draw.c:301 @ 56d2)
  0.09     45.23     0.04                             unfilterScanline (lodepng.c:4499 @ 1d437)
